"objective","user_id","earned_points","possible_points","per_earned"
"LO 1",683847,24,28,0.857142857142857
"LO 1",185092,26,28,0.928571428571429
"LO 1",615153,26,28,0.928571428571429
"LO 1",332610,25,28,0.892857142857143
"LO 1",994460,28,28,1
"LO 1",478099,24,28,0.857142857142857
"LO 1",262363,26,28,0.928571428571429
"LO 1",678942,27,28,0.964285714285714
"LO 1",210302,25,28,0.892857142857143
"LO 1",834318,24,28,0.857142857142857
"LO 1",787249,24,28,0.857142857142857
"LO 1",926364,28,28,1
"LO 1",657980,23,28,0.821428571428571
"LO 1",633904,24,28,0.857142857142857
"LO 1",472022,25,28,0.892857142857143
"LO 1",887452,26,28,0.928571428571429
"LO 1",541287,24,28,0.857142857142857
"LO 1",623185,25,28,0.892857142857143
"LO 1",177924,27,28,0.964285714285714
"LO 1",591879,23,28,0.821428571428571
"LO 1",829495,26,28,0.928571428571429
"LO 1",990860,24,28,0.857142857142857
"LO 1",175424,24,28,0.857142857142857
"LO 1",615225,25,28,0.892857142857143
"LO 1",483742,25,28,0.892857142857143
"LO 1",966621,26,28,0.928571428571429
"LO 1",327535,27,28,0.964285714285714
"LO 1",426072,25,28,0.892857142857143
"LO 1",751825,25,28,0.892857142857143
"LO 1",735786,27,28,0.964285714285714
"LO 1",454795,27,28,0.964285714285714
"LO 1",366887,26,28,0.928571428571429
"LO 1",437986,24,28,0.857142857142857
"LO 1",138375,24,28,0.857142857142857
"LO 1",679268,22,28,0.785714285714286
"LO 1",647577,24,28,0.857142857142857
"LO 1",583714,25,28,0.892857142857143
"LO 1",613069,25,28,0.892857142857143
"LO 1",794344,23,28,0.821428571428571
"LO 1",983569,24,28,0.857142857142857
"LO 1",510369,27,28,0.964285714285714
"LO 1",884153,25,28,0.892857142857143
"LO 1",395484,27,28,0.964285714285714
"LO 1",848274,26,28,0.928571428571429
"LO 1",500417,27,28,0.964285714285714
"LO 1",128652,24,28,0.857142857142857
"LO 1",151318,25,28,0.892857142857143
"LO 1",439936,24,28,0.857142857142857
"LO 1",767839,27,28,0.964285714285714
"LO 1",867380,24,28,0.857142857142857
"LO 1",457475,24,28,0.857142857142857
"LO 1",374593,25,28,0.892857142857143
"LO 1",626189,25,28,0.892857142857143
"LO 1",692367,28,28,1
"LO 1",424006,24,28,0.857142857142857
"LO 1",286598,23,28,0.821428571428571
"LO 1",973715,26,28,0.928571428571429
"LO 1",413236,24,28,0.857142857142857
"LO 1",249644,24,28,0.857142857142857
"LO 1",558432,24,28,0.857142857142857
"LO 1",570248,28,28,1
"LO 1",276042,27,28,0.964285714285714
"LO 1",485692,25,28,0.892857142857143
"LO 1",537239,26,28,0.928571428571429
"LO 1",509617,28,28,1
"LO 1",600006,26,28,0.928571428571429
"LO 1",725048,26,28,0.928571428571429
"LO 1",454360,25,28,0.892857142857143
"LO 1",674785,27,28,0.964285714285714
"LO 1",791797,25,28,0.892857142857143
"LO 1",512045,26,28,0.928571428571429
"LO 1",501580,26,28,0.928571428571429
"LO 1",704774,23,28,0.821428571428571
"LO 1",481797,23,28,0.821428571428571
"LO 1",728620,24,28,0.857142857142857
"LO 1",286033,28,28,1
"LO 1",385544,25,28,0.892857142857143
"LO 1",568667,22,28,0.785714285714286
"LO 1",465318,27,28,0.964285714285714
"LO 1",363069,26,28,0.928571428571429
"LO 1",190820,26,28,0.928571428571429
"LO 1",437069,25,28,0.892857142857143
"LO 1",128762,21,28,0.75
"LO 1",107427,26,28,0.928571428571429
"LO 1",793946,26,28,0.928571428571429
"LO 1",453645,26,28,0.928571428571429
"LO 1",853110,25,28,0.892857142857143
"LO 1",830181,27,28,0.964285714285714
"LO 1",281719,24,28,0.857142857142857
"LO 1",119783,27,28,0.964285714285714
"LO 1",603019,23,28,0.821428571428571
"LO 1",935841,22,28,0.785714285714286
"LO 1",446120,23,28,0.821428571428571
"LO 1",435079,26,28,0.928571428571429
"LO 1",143577,26,28,0.928571428571429
"LO 1",573755,27,28,0.964285714285714
"LO 1",907699,26,28,0.928571428571429
"LO 1",698772,24,28,0.857142857142857
"LO 1",595593,28,28,1
"LO 1",888890,25,28,0.892857142857143
"LO 1",367849,25,28,0.892857142857143
"LO 1",835592,26,28,0.928571428571429
"LO 1",131112,23,28,0.821428571428571
"LO 1",896320,24,28,0.857142857142857
"LO 1",986441,25,28,0.892857142857143
"LO 1",254810,26,28,0.928571428571429
"LO 1",489962,24,28,0.857142857142857
"LO 1",431783,25,28,0.892857142857143
"LO 1",406166,24,28,0.857142857142857
"LO 1",143501,24,28,0.857142857142857
"LO 1",300160,24,28,0.857142857142857
"LO 1",652680,24,28,0.857142857142857
"LO 1",629151,26,28,0.928571428571429
"LO 1",911490,22,28,0.785714285714286
"LO 1",613621,19,28,0.678571428571429
"LO 1",644607,24,28,0.857142857142857
"LO 1",580159,26,28,0.928571428571429
"LO 1",352908,24,28,0.857142857142857
"LO 1",942334,26,28,0.928571428571429
"LO 1",457616,26,28,0.928571428571429
"LO 1",824486,24,28,0.857142857142857
"LO 1",209541,27,28,0.964285714285714
"LO 1",748156,22,28,0.785714285714286
"LO 1",429614,27,28,0.964285714285714
"LO 1",398866,25,28,0.892857142857143
"LO 1",196241,27,28,0.964285714285714
"LO 1",883859,22,28,0.785714285714286
"LO 1",853998,26,28,0.928571428571429
"LO 1",326305,25,28,0.892857142857143
"LO 1",923700,26,28,0.928571428571429
"LO 1",681413,28,28,1
"LO 1",713148,27,28,0.964285714285714
"LO 1",466362,19,28,0.678571428571429
"LO 1",882919,25,28,0.892857142857143
"LO 1",397096,25,28,0.892857142857143
"LO 1",687778,25,28,0.892857142857143
"LO 1",430272,26,28,0.928571428571429
"LO 1",598390,28,28,1
"LO 1",428037,22,28,0.785714285714286
"LO 1",283406,27,28,0.964285714285714
"LO 1",860692,25,28,0.892857142857143
"LO 1",249690,27,28,0.964285714285714
"LO 1",731074,26,28,0.928571428571429
"LO 1",431506,26,28,0.928571428571429
"LO 1",935452,26,28,0.928571428571429
"LO 1",216787,22,28,0.785714285714286
"LO 1",504410,25,28,0.892857142857143
"LO 1",536579,24,28,0.857142857142857
"LO 1",557706,22,28,0.785714285714286
"LO 1",567565,26,28,0.928571428571429
"LO 1",470336,26,28,0.928571428571429
"LO 1",711004,26,28,0.928571428571429
"LO 1",787546,27,28,0.964285714285714
"LO 1",643123,18,28,0.642857142857143
"LO 1",418227,22,28,0.785714285714286
"LO 1",998140,26,28,0.928571428571429
"LO 1",978975,26,28,0.928571428571429
"LO 1",808826,25,28,0.892857142857143
"LO 1",368122,26,28,0.928571428571429
"LO 1",557165,26,28,0.928571428571429
"LO 1",816721,26,28,0.928571428571429
"LO 1",335926,28,28,1
"LO 1",872145,22,28,0.785714285714286
"LO 1",483944,27,28,0.964285714285714
"LO 1",922702,25,28,0.892857142857143
"LO 1",323269,26,28,0.928571428571429
"LO 1",385768,24,28,0.857142857142857
"LO 1",852801,25,28,0.892857142857143
"LO 1",347515,25,28,0.892857142857143
"LO 1",814585,23,28,0.821428571428571
"LO 1",428901,25,28,0.892857142857143
"LO 1",834959,22,28,0.785714285714286
"LO 1",279177,27,28,0.964285714285714
"LO 1",130434,27,28,0.964285714285714
"LO 1",415741,15,28,0.535714285714286
"LO 1",266823,27,28,0.964285714285714
"LO 1",774304,26,28,0.928571428571429
"LO 1",854924,26,28,0.928571428571429
"LO 1",320242,25,28,0.892857142857143
"LO 1",975125,25,28,0.892857142857143
"LO 1",624974,25,28,0.892857142857143
"LO 1",759447,27,28,0.964285714285714
"LO 1",756918,26,28,0.928571428571429
"LO 1",597997,28,28,1
"LO 1",732395,25,28,0.892857142857143
"LO 1",555328,28,28,1
"LO 1",906044,23,28,0.821428571428571
"LO 1",298812,25,28,0.892857142857143
"LO 1",244256,26,28,0.928571428571429
"LO 1",105960,27,28,0.964285714285714
"LO 1",237223,23,28,0.821428571428571
"LO 1",386390,28,28,1
"LO 1",625669,23,28,0.821428571428571
"LO 1",812703,22,28,0.785714285714286
"LO 1",956858,26,28,0.928571428571429
"LO 1",752209,27,28,0.964285714285714
"LO 1",386829,21,28,0.75
"LO 1",478902,22,28,0.785714285714286
"LO 1",527726,22,28,0.785714285714286
"LO 1",778177,26,28,0.928571428571429
"LO 1",717359,25,28,0.892857142857143
"LO 1",766288,24,28,0.857142857142857
"LO 1",608355,24,28,0.857142857142857
"LO 1",256319,26,28,0.928571428571429
"LO 1",836467,24,28,0.857142857142857
"LO 1",801668,26,28,0.928571428571429
"LO 1",999023,23,28,0.821428571428571
